,cgpa,programmingClub,programmingContest,projectShowcasing,seminarWorkshop,researchOpportunities,fundingSupportResearch,studentTeacherRatio,qualityOfTeaching,supportiveTeachersTechnicalSkill,programmingEnvironment,successfulFeelOrNot,specializedLabs,internshipsOrIndustryPlacement,onCampusRecruitment,arrangePeerMentoringPrograms,arrangePeerledWorkshopsOrTutorials,numberOfProjectsOrInitiatives,receiveAwardsScholarships,secureEmploymentOrJobOffers,interestCareerInTheCSEfield,finallyAcademicEnvironmentAndPeerMentoringSupport
61,3.495,0,2,2,2,2,0,0,0,0,1,1,0,1,1,2,2,0,0,0,2,1
62,3.3,0,3,2,3,0,0,1,0,4,3,0,0,0,0,2,0,2,1,1,2,5
63,3.495,0,3,1,2,2,0,3,0,2,1,0,0,0,0,2,2,2,0,0,2,1
64,3.495,0,2,1,2,2,0,0,0,2,3,1,0,0,0,2,2,1,0,1,2,1
65,3.495,0,2,1,2,2,0,2,3,0,4,5,0,0,0,0,0,2,0,0,0,4
66,3.33,1,3,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,1
67,3.3,1,2,2,2,1,2,2,1,2,2,2,0,2,1,2,2,1,0,0,2,2
68,3.3,1,2,1,0,2,1,2,2,2,2,2,1,0,1,2,2,1,0,0,2,2
69,3.3,1,2,3,4,1,1,0,2,4,2,2,0,0,2,1,1,2,0,0,2,1
70,3.64,1,0,3,2,1,2,2,1,4,0,2,1,0,2,1,1,2,2,2,2,0
71,3.3,1,4,0,1,1,1,2,2,0,2,2,1,0,2,1,2,0,2,0,2,0
72,3.495,1,2,0,2,1,1,2,2,2,0,0,1,0,0,1,2,0,0,0,2,2
73,3.495,1,0,3,4,2,2,0,2,2,2,2,1,0,1,2,1,0,0,0,2,2
74,3.52,1,0,3,0,1,0,2,2,4,2,2,1,0,1,2,2,1,0,0,2,2
75,3.495,1,4,3,4,1,1,2,2,2,0,2,1,0,1,1,1,2,0,0,2,0
76,3.495,1,4,1,2,2,2,0,0,2,0,3,1,1,2,1,1,2,0,0,2,2
77,3.495,1,1,0,1,1,1,2,2,4,2,0,1,0,2,1,1,0,0,0,2,2
78,3.44,1,4,3,0,2,0,2,2,2,2,2,1,0,1,1,2,2,0,0,2,2
79,3.495,0,2,1,2,0,2,0,2,2,1,0,0,0,0,0,2,1,0,0,2,1
80,3.49,1,0,1,0,1,2,2,2,0,2,3,1,0,2,1,2,1,0,0,2,2
81,3.45,1,4,3,4,1,2,2,1,4,0,4,1,2,2,1,1,2,0,2,2,0
82,3.495,1,0,3,4,2,0,0,2,0,1,0,1,0,1,0,2,2,0,0,2,1
83,3.495,1,4,1,0,2,1,0,2,2,0,0,1,0,1,1,2,2,0,0,2,2
84,3.495,1,2,1,2,1,2,1,0,2,1,5,0,0,1,0,2,1,0,0,1,1
85,3.3,0,3,2,2,2,0,2,2,0,3,5,0,2,1,2,2,1,0,0,2,1
86,3.6,1,0,1,2,2,2,2,2,2,0,2,1,0,1,1,2,0,0,0,2,1
87,3.495,1,0,1,0,1,2,2,2,4,2,0,1,0,0,2,2,2,0,0,2,1
88,3.64,1,2,1,3,2,1,0,2,0,1,0,0,0,1,2,1,1,0,0,1,1
